date,player_name,goals_scored,penalty,own_goal
1957-04-24T00:00:00Z,Mervyn Canning,2,0,0
1957-04-27T00:00:00Z,Eddie Attwood,1,0,0
1957-04-27T00:00:00Z,Bill Cuff,1,0,0
1957-04-27T00:00:00Z,Mervyn Canning,1,0,0
1957-08-24T00:00:00Z,Ray Tarr,1,0,0
1957-08-28T00:00:00Z,Gerry Fielding,1,0,0
1957-08-28T00:00:00Z,Ray Tarr,1,0,0
1957-08-28T00:00:00Z,Eddie Attwood,1,0,0
1957-08-31T00:00:00Z,Derek Woodford,1,0,0
1957-08-31T00:00:00Z,Gerry Fielding,1,0,0
1957-08-31T00:00:00Z,Mervyn Canning,1,0,0
1957-08-31T00:00:00Z,Ray Tarr,1,0,0
1957-09-05T00:00:00Z,Mervyn Canning,1,0,0
1957-09-05T00:00:00Z,Derek Woodford,1,0,0
1957-09-05T00:00:00Z,Ray Tarr,2,0,0
1957-09-05T00:00:00Z,Eddie Attwood,1,0,0
1957-09-07T00:00:00Z,Derek Woodford,1,0,0
1957-09-07T00:00:00Z,West,1,0,0
1957-09-21T00:00:00Z,Derek Woodford,1,0,0
1957-09-28T00:00:00Z,Ray Tarr,1,0,0
1957-10-05T00:00:00Z,Ray Tarr,1,0,0
1957-10-05T00:00:00Z,Mervyn Canning,1,0,0
1957-10-12T00:00:00Z,Derek Woodford,1,0,0
1957-10-12T00:00:00Z,Eddie Attwood,2,0,0
1957-10-12T00:00:00Z,Ray Tarr,1,0,0
1957-10-26T00:00:00Z,Bill Cuff,3,0,0
1957-10-26T00:00:00Z,Ray Tarr,1,0,0
1957-11-02T00:00:00Z,Mervyn Canning,1,0,0
1957-11-09T00:00:00Z,Eddie Attwood,1,0,0
1957-11-09T00:00:00Z,Ray Tarr,1,0,0
1957-11-09T00:00:00Z,Bill Cuff,1,0,0
1957-11-16T00:00:00Z,OG,1,0,1
1957-11-16T00:00:00Z,Bill Cuff,1,0,0
1957-11-23T00:00:00Z,Eddie Attwood,1,0,0
1957-11-23T00:00:00Z,Derek Woodford,1,0,0
1957-11-23T00:00:00Z,Pete Downs,1,0,0
1957-11-30T00:00:00Z,Eddie Attwood,2,0,0
1957-11-30T00:00:00Z,Gerry Fielding,1,0,0
1957-12-07T00:00:00Z,Ray Tarr,2,0,0
1957-12-07T00:00:00Z,Eddie Attwood,2,0,0
1957-12-21T00:00:00Z,Bill Cuff,1,0,0
1957-12-21T00:00:00Z,Ray Tarr,3,0,0
1957-12-21T00:00:00Z,Eddie Attwood,1,0,0
1957-12-25T00:00:00Z,Ray Tarr,1,0,0
1957-12-25T00:00:00Z,Bill Cuff,1,0,0
1957-12-26T00:00:00Z,Mervyn Canning,1,0,0
1957-12-26T00:00:00Z,Brian Barker,2,0,0
1957-12-26T00:00:00Z,Ray Tarr,2,0,0
1957-12-28T00:00:00Z,Ray Tarr,3,0,0
1957-12-28T00:00:00Z,Mervyn Canning,1,0,0
1957-12-28T00:00:00Z,Bill Cuff,1,0,0
1958-01-04T00:00:00Z,Gerry Fielding,1,0,0
1958-01-04T00:00:00Z,Ray Tarr,2,0,0
1958-01-04T00:00:00Z,Bill Cuff,1,0,0
1958-01-04T00:00:00Z,Mervyn Canning,1,0,0
1958-01-04T00:00:00Z,Cox,1,0,0
1958-01-04T00:00:00Z,Eddie Attwood,1,0,0
1958-01-18T00:00:00Z,Eddie Attwood,2,0,0
1958-01-18T00:00:00Z,George,1,0,0
1958-01-25T00:00:00Z,Ray Tarr,1,0,0
1958-02-01T00:00:00Z,Eddie Attwood,1,0,0
1958-02-01T00:00:00Z,Ray Tarr,1,0,0
1958-02-01T00:00:00Z,Mervyn Canning,1,0,0
1958-02-08T00:00:00Z,Ray Tarr,1,0,0
1958-02-08T00:00:00Z,Mervyn Canning,1,0,0
1958-02-15T00:00:00Z,Mervyn Canning,1,0,0
1958-02-15T00:00:00Z,Eddie Attwood,1,0,0
1958-02-22T00:00:00Z,Bill Cuff,1,0,0
1958-03-08T00:00:00Z,Ray Tarr,1,0,0
1958-03-08T00:00:00Z,Ray Mogg,2,0,0
1958-03-08T00:00:00Z,Brian Barker,1,0,0
1958-03-22T00:00:00Z,Derek Woodford,1,0,0
1958-03-22T00:00:00Z,Brian Barker,1,0,0
1958-03-29T00:00:00Z,Mervyn Canning,1,0,0
1958-04-04T00:00:00Z,Ray Tarr,1,0,0
1958-04-04T00:00:00Z,Mervyn Canning,1,0,0
1958-04-05T00:00:00Z,Ray Tarr,2,0,0
1958-04-05T00:00:00Z,Charlie Collins,1,0,0
1958-04-12T00:00:00Z,Ray Tarr,3,0,0
1958-04-12T00:00:00Z,Bill Cuff,1,0,0
1958-04-12T00:00:00Z,Ray Mogg,1,0,0
1958-04-19T00:00:00Z,Mervyn Canning,1,0,0
1958-04-19T00:00:00Z,Ray Mogg,2,0,0
1958-04-26T00:00:00Z,Mervyn Canning,1,0,0
1958-04-26T00:00:00Z,Ray Tarr,1,0,0
1958-04-30T00:00:00Z,Ray Tarr,1,0,0
1958-08-23T00:00:00Z,Tucker,1,0,0
1958-08-23T00:00:00Z,Mervyn Canning,1,0,0
1958-08-23T00:00:00Z,Ray Tarr,1,0,0
1958-09-03T00:00:00Z,Hyton,1,0,0
1958-09-06T00:00:00Z,Johnny Edwards,1,0,0
1958-09-13T00:00:00Z,Johnny Edwards,1,0,0
1958-09-13T00:00:00Z,Brian Barker,1,0,0
1958-09-20T00:00:00Z,Ray Tarr,2,0,0
1958-09-20T00:00:00Z,Brian Barker,1,0,0
1958-09-27T00:00:00Z,Derek Woodford,1,0,0
1958-09-27T00:00:00Z,Charlie Collins,1,0,0
1958-09-27T00:00:00Z,Mervyn Canning,1,0,0
1958-10-04T00:00:00Z,Brian Barker,1,0,0
1958-10-11T00:00:00Z,Brian Barker,2,0,0
1958-10-11T00:00:00Z,Mervyn Canning,1,0,0
1958-10-11T00:00:00Z,Dix,1,0,0
1958-10-15T00:00:00Z,Derek Baber,1,0,0
1958-10-15T00:00:00Z,Dix,1,0,0
1958-10-15T00:00:00Z,OG,1,0,1
1958-10-18T00:00:00Z,Gerry Fielding,1,0,0
1958-10-25T00:00:00Z,Derek Baber,1,0,0
1958-11-01T00:00:00Z,Brian Barker,2,0,0
1958-11-01T00:00:00Z,Derek Baber,1,0,0
1958-11-01T00:00:00Z,Ray Tarr,1,0,0
1958-11-08T00:00:00Z,Brian Barker,1,0,0
1958-12-06T00:00:00Z,Dix,2,0,0
1958-12-06T00:00:00Z,Derek Baber,2,0,0
1958-12-06T00:00:00Z,Brian Barker,2,0,0
1958-12-06T00:00:00Z,Eddie jordan,2,0,0
1958-12-13T00:00:00Z,Eddie Attwood,1,0,0
1958-12-20T00:00:00Z,Dando,1,0,0
1958-12-20T00:00:00Z,OG,1,0,1
1958-12-20T00:00:00Z,Eddie Attwood,1,0,0
1958-12-20T00:00:00Z,Alan Margary,1,0,0
1958-12-26T00:00:00Z,Brian Barker,4,0,0
1958-12-26T00:00:00Z,Alan Margary,1,0,0
1958-12-26T00:00:00Z,Eddie Attwood,2,0,0
1958-12-27T00:00:00Z,Mervyn Canning,1,0,0
1959-01-03T00:00:00Z,Eddie Attwood,1,0,0
1959-01-03T00:00:00Z,OG,1,0,1
1959-01-03T00:00:00Z,Tony Day,1,0,0
1959-01-03T00:00:00Z,Derek Baber,1,0,0
1959-01-03T00:00:00Z,Charlie Collins,1,0,0
1959-01-10T00:00:00Z,Charlie Collins,1,0,0
1959-01-10T00:00:00Z,Eddie Attwood,2,0,0
1959-01-10T00:00:00Z,Brian Barker,2,0,0
1959-01-17T00:00:00Z,Brian Barker,3,0,0
1959-01-17T00:00:00Z,OG,1,0,1
1959-01-17T00:00:00Z,Alan Margary,1,0,0
1959-01-24T00:00:00Z,Brian Barker,1,0,0
1959-01-31T00:00:00Z,Brian Barker,1,0,0
1959-01-31T00:00:00Z,Mervyn Canning,1,0,0
1959-01-31T00:00:00Z,Eddie Attwood,1,0,0
1959-02-07T00:00:00Z,Mervyn Canning,3,0,0
1959-02-07T00:00:00Z,Eddie Attwood,5,0,0
1959-02-07T00:00:00Z,Brian Barker,1,0,0
1959-02-07T00:00:00Z,Johnny Edwards,1,0,0
1959-02-14T00:00:00Z,Brian Barker,2,0,0
1959-02-14T00:00:00Z,Alan Margary,1,0,0
1959-02-21T00:00:00Z,Brian Barker,1,0,0
1959-02-28T00:00:00Z,Brian Barker,1,0,0
1959-03-07T00:00:00Z,Alan Margary,1,0,0
1959-03-14T00:00:00Z,Eddie Attwood,1,0,0
1959-03-21T00:00:00Z,Eddie Attwood,5,0,0
1959-03-21T00:00:00Z,Brian Barker,3,0,0
1959-03-21T00:00:00Z,Mervyn Canning,1,0,0
1959-03-21T00:00:00Z,OG,1,0,1
1959-03-27T00:00:00Z,Gerry Fielding,1,0,0
1959-03-27T00:00:00Z,Brian Barker,1,0,0
1959-03-27T00:00:00Z,Jones,4,0,0
1959-03-27T00:00:00Z,Johnny Edwards,1,0,0
1959-03-28T00:00:00Z,Dando,1,0,0
1959-03-30T00:00:00Z,Brian Barker,1,0,0
1959-03-30T00:00:00Z,Johnny Edwards,1,0,0
1959-04-04T00:00:00Z,Mervyn Canning,3,0,0
1959-04-04T00:00:00Z,Eddie Attwood,1,0,0
1959-04-11T00:00:00Z,Brian Barker,1,0,0
1959-04-11T00:00:00Z,Matthews,1,0,0
1959-04-18T00:00:00Z,Brian Barker,2,0,0
1959-04-20T00:00:00Z,Eddie Attwood,1,0,0
1959-04-27T00:00:00Z,Brian Barker,2,0,0
1959-05-04T00:00:00Z,Eddie Attwood,1,0,0
1959-05-04T00:00:00Z,Bishop,2,0,0
1959-05-04T00:00:00Z,Mervyn Jeremiah,1,0,0
1959-08-22T00:00:00Z,Keith Simmons,1,0,0
1959-08-22T00:00:00Z,Peter Down,1,0,0
1959-08-22T00:00:00Z,Brian Barker,1,0,0
1959-08-29T00:00:00Z,OG,1,0,1
1959-08-29T00:00:00Z,Gerry Fielding,1,0,0
1959-08-29T00:00:00Z,Brian Barker,2,0,0
1959-08-29T00:00:00Z,Eddie Attwood,1,0,0
1959-08-29T00:00:00Z,Keith Simmons,1,0,0
1959-09-02T00:00:00Z,Johnny Edwards,1,0,0
1959-09-05T00:00:00Z,Brian Loveridge,1,0,0
1959-09-09T00:00:00Z,Keith Simmons,1,0,0
1959-09-09T00:00:00Z,Brian Barker,3,0,0
1959-09-09T00:00:00Z,Boulton,1,0,0
1959-09-09T00:00:00Z,Gerry Fielding,2,0,0
1959-09-12T00:00:00Z,Brian Loveridge,1,0,0
1959-09-12T00:00:00Z,Brian Barker,1,0,0
